Date,Close/Last,Volume,Open,High,Low
02/15/2024,$124.00,2197,$126.16,$126.40,$120.91
02/14/2024,$121.80,11648,$124.58,$124.84,$119.00
02/13/2024,$123.50,76641,$120.74,$123.56,$118.16
02/12/2024,$120.6649,1824,$122.80,$122.85,$120.50
02/09/2024,$123.50,1648,$121.75,$124.50,$121.75
02/08/2024,$125.00,2272,$122.00,$125.00,$122.00
02/07/2024,$133.34,2865,$133.34,$133.34,$133.34
02/06/2024,$133.84,1153,$132.94,$133.84,$131.625
02/05/2024,$128.04,1177,$131.68,$131.80,$128.04
02/02/2024,$131.90,541,$131.90,$131.90,$131.90
02/01/2024,$132.12,1130,$131.66,$133.36,$131.66
01/31/2024,$132.40,1245,$135.72,$135.72,$132.40
01/30/2024,$131.25,833,$136.59,$136.59,$131.25
01/29/2024,$132.4799,1349,$135.34,$135.70,$132.40
01/26/2024,$131.75,4019,$135.90,$137.34,$131.30
01/25/2024,$132.0399,797,$130.30,$132.0399,$130.30
01/24/2024,$131.9199,976,$134.34,$134.34,$131.9199
01/23/2024,$134.90,1258,$133.34,$134.90,$131.6999
01/22/2024,$136.28,2145,$135.26,$136.34,$135.26
01/19/2024,$131.80,1134,$134.46,$134.46,$131.80
01/18/2024,$132.25,3123,$135.42,$135.42,$131.62
01/17/2024,$134.00,1351,$133.00,$134.00,$133.00
01/16/2024,$132.96,3836,$134.95,$136.58,$132.96
01/12/2024,$139.76,1081,$139.85,$139.85,$139.76
01/11/2024,$137.02,2026,$139.20,$139.68,$137.02
01/10/2024,$137.2249,2178,$139.05,$139.10,$137.2249
01/09/2024,$139.56,1162,$135.25,$140.00,$135.25
01/08/2024,$139.50,5268,$139.34,$139.84,$136.0399
01/05/2024,$135.66,2190,$137.26,$139.84,$135.66
01/04/2024,$137.05,770,$139.12,$139.40,$137.05
01/03/2024,$138.46,3155,$138.84,$138.84,$138.25
01/02/2024,$132.8123,6747,$136.08,$136.49,$132.8123
12/29/2023,$134.45,2728,$137.34,$137.34,$134.35
12/28/2023,$136.32,2130,$132.55,$136.32,$132.50
12/27/2023,$133.0999,1535,$129.45,$134.85,$129.45
12/26/2023,$134.40,2333,$134.84,$134.84,$130.11
12/22/2023,$130.90,5816,$134.85,$134.85,$127.30
12/21/2023,$130.50,4065,$131.12,$133.25,$127.78
12/20/2023,$131.125,1018,$131.25,$131.25,$131.125
12/19/2023,$132.88,915,$132.88,$132.88,$132.88
12/18/2023,$128.00,4164,$132.04,$133.34,$128.00
12/15/2023,$131.28,4058,$128.52,$131.28,$126.66
12/14/2023,$132.495,3442,$130.80,$134.84,$129.91
12/13/2023,$129.2599,1451,$129.00,$131.56,$129.00
12/12/2023,$126.48,1360,$131.50,$131.50,$126.42
12/11/2023,$125.20,3482,$125.94,$129.34,$125.20
12/08/2023,$125.06,1815,$126.22,$128.06,$124.9599
12/07/2023,$125.40,2273,$125.90,$128.18,$124.91
12/06/2023,$125.50,3147,$127.65,$127.81,$125.50
12/05/2023,$125.75,2587,$125.41,$129.88,$125.41
12/04/2023,$128.52,2623,$129.02,$131.59,$128.1399
12/01/2023,$125.00,3429,$131.74,$131.74,$125.00
11/30/2023,$128.50,2418,$128.20,$128.50,$126.9199
11/29/2023,$126.8199,11044,$127.22,$127.22,$124.00
11/28/2023,$124.9599,1862,$125.16,$125.40,$124.9599
11/27/2023,$128.76,1423,$126.8199,$128.76,$126.8199
11/24/2023,$128.55,922,$128.44,$128.55,$128.44
11/22/2023,$126.54,1315,$126.5999,$126.5999,$126.54
11/21/2023,$125.642,1291,$125.875,$128.68,$124.05
11/20/2023,$126.14,1725,$128.05,$128.05,$126.14
11/17/2023,$128.00,5729,$128.00,$128.04,$124.24
11/16/2023,$125.15,35113,$122.46,$127.90,$122.46
11/15/2023,$125.16,2002,$125.40,$127.64,$125.16
11/14/2023,$125.80,3073,$125.80,$128.15,$123.448
11/13/2023,$124.75,1931,$124.00,$124.75,$121.35
11/10/2023,$124.285,2005,$127.00,$127.00,$123.62
11/09/2023,$126.87,1086,$128.00,$129.06,$126.87
11/08/2023,$125.08,3803,$122.76,$125.12,$122.76
11/07/2023,$125.25,1231,$125.25,$127.80,$123.35
11/06/2023,$126.8199,1592,$126.96,$129.92,$126.80
11/03/2023,$126.30,1097,$126.30,$126.30,$126.30
11/02/2023,$126.8199,3526,$123.81,$129.22,$123.81
11/01/2023,$128.58,7302,$125.40,$128.58,$125.40
10/31/2023,$122.7599,1348,$124.88,$124.88,$122.7599
10/30/2023,$123.975,1515,$120.60,$123.975,$120.60
10/27/2023,$121.45,1501,$123.90,$124.12,$121.45
10/26/2023,$125.275,1735,$127.25,$127.25,$125.275
10/25/2023,$126.445,970,$128.58,$128.58,$126.445
10/24/2023,$127.15,1673,$125.4499,$127.15,$125.4499
10/23/2023,$123.75,1350,$123.625,$125.90,$123.625
10/20/2023,$127.86,1761,$129.10,$129.10,$126.38
10/19/2023,$127.58,1270,$127.65,$127.65,$127.58
10/18/2023,$130.89,3444,$129.65,$130.89,$129.20
10/17/2023,$137.05,5538,$139.30,$140.00,$129.16
10/16/2023,$134.16,4890,$129.50,$134.16,$129.50
10/13/2023,$135.50,N/A,$135.50,$135.50,$135.50
10/12/2023,$135.50,911,$135.50,$135.50,$135.50
10/11/2023,$133.972,1104,$134.4799,$134.4799,$133.972
10/10/2023,$134.38,751,$134.635,$134.635,$134.38
10/09/2023,$134.14,1195,$134.60,$134.60,$134.14
10/06/2023,$133.4799,1288,$134.25,$136.44,$133.4799
10/05/2023,$134.90,1732,$132.72,$134.90,$132.175
10/04/2023,$134.15,467,$134.15,$134.15,$134.15
10/03/2023,$132.93,1101,$133.72,$134.14,$129.45
10/02/2023,$133.10,1837,$134.36,$134.36,$133.10
09/29/2023,$135.05,2097,$137.05,$137.05,$135.05
09/28/2023,$136.15,1456,$135.35,$136.29,$133.63
09/27/2023,$133.16,1900,$136.00,$137.59,$133.16
09/26/2023,$134.9499,7358,$132.85,$137.84,$132.85
09/25/2023,$136.99,865,$131.95,$137.58,$131.95
09/22/2023,$137.93,731,$137.93,$137.93,$137.93
09/21/2023,$133.95,960,$134.80,$134.80,$133.95
09/20/2023,$136.34,642,$137.60,$137.60,$136.34
09/19/2023,$130.675,857,$133.35,$133.35,$130.675
09/18/2023,$131.4549,3626,$135.50,$137.84,$131.4549
09/15/2023,$138.28,800,$138.28,$138.28,$138.28
09/14/2023,$133.00,507,$133.00,$133.00,$133.00
09/13/2023,$130.08,48397,$133.40,$133.90,$130.08
09/12/2023,$132.225,560,$133.17,$133.17,$132.225
09/11/2023,$135.70,N/A,$135.70,$135.70,$135.70
09/08/2023,$135.70,1614,$135.84,$135.84,$135.70
09/07/2023,$134.68,3379,$133.00,$135.29,$133.00
09/06/2023,$133.90,N/A,$133.90,$133.90,$133.90
09/05/2023,$133.90,1171,$136.14,$136.20,$133.90
09/01/2023,$136.00,555,$136.00,$136.00,$136.00
08/31/2023,$134.0399,446,$134.0399,$134.0399,$134.0399
08/30/2023,$136.725,971,$139.88,$139.88,$136.725
08/29/2023,$139.10,1151,$135.60,$139.10,$132.50
08/28/2023,$136.64,1095,$135.00,$136.64,$135.00
08/25/2023,$135.971,1642,$131.55,$136.35,$131.55
08/24/2023,$136.00,5786,$134.96,$136.00,$134.96
08/23/2023,$139.35,3271,$136.49,$139.35,$136.03
08/22/2023,$135.80,1699,$137.54,$137.54,$133.00
08/21/2023,$136.95,1084,$136.25,$136.95,$136.25
08/18/2023,$136.03,7114,$136.20,$136.20,$135.01
08/17/2023,$137.4749,1528,$136.85,$137.4749,$136.85
08/16/2023,$137.56,N/A,$137.56,$137.56,$137.56
08/15/2023,$137.56,1502,$140.70,$140.70,$135.55
08/14/2023,$143.20,1828,$140.79,$143.20,$140.79
08/11/2023,$141.52,652,$141.52,$141.52,$141.52
08/10/2023,$137.95,3600,$143.42,$143.42,$137.95
08/09/2023,$141.35,N/A,$141.35,$141.35,$141.35
08/08/2023,$141.35,555,$141.35,$141.35,$141.35
08/07/2023,$141.28,1073,$138.69,$141.28,$138.69
08/04/2023,$140.24,3501,$139.10,$140.24,$137.94
08/03/2023,$139.01,755,$139.01,$139.01,$139.01
08/02/2023,$139.125,477,$139.125,$139.125,$139.125
08/01/2023,$142.85,5419,$139.00,$142.85,$139.00
07/31/2023,$144.82,1461,$139.95,$144.82,$139.95
07/28/2023,$140.84,928,$141.6399,$141.6399,$140.84
07/27/2023,$140.45,1191,$140.45,$140.45,$140.45
07/26/2023,$140.50,1117,$140.50,$140.50,$140.50
07/25/2023,$137.0999,2382,$136.8199,$138.92,$136.5999
07/24/2023,$139.28,560,$139.28,$139.28,$139.28
07/21/2023,$136.9199,1191,$138.46,$139.84,$136.72
07/20/2023,$138.00,993,$138.02,$138.02,$138.00
07/19/2023,$137.06,600,$135.08,$137.06,$135.08
07/18/2023,$134.45,788,$135.70,$135.70,$134.45
07/17/2023,$135.78,583,$135.78,$135.78,$135.78
07/14/2023,$138.62,2824,$138.00,$138.62,$138.00
07/13/2023,$133.5999,727,$134.00,$134.00,$133.5999
07/12/2023,$134.32,788,$129.00,$134.32,$129.00
07/11/2023,$131.25,N/A,$131.25,$131.25,$131.25
07/10/2023,$131.25,983,$130.96,$131.25,$130.00
07/07/2023,$127.75,1145,$129.36,$131.22,$127.75
07/06/2023,$132.44,1152,$132.28,$132.44,$131.15
07/05/2023,$134.00,847,$133.75,$134.00,$133.75
07/03/2023,$133.235,2402,$129.90,$134.00,$129.72
06/30/2023,$143.90,483,$143.90,$143.90,$143.90
06/29/2023,$142.91,2868,$141.89,$142.91,$141.89
06/28/2023,$140.40,753,$143.80,$143.80,$140.40
06/27/2023,$142.75,N/A,$142.75,$142.75,$142.75
06/26/2023,$142.75,1433,$144.74,$144.74,$142.75
06/23/2023,$146.15,1303,$146.55,$146.55,$146.15
06/22/2023,$146.68,700,$146.18,$149.32,$146.18
06/21/2023,$148.66,635,$148.66,$148.66,$148.66
06/20/2023,$149.25,991,$149.25,$149.25,$149.25
06/16/2023,$149.51,1022,$151.125,$151.125,$149.2599
06/15/2023,$149.25,2971,$148.30,$149.25,$148.30
06/14/2023,$146.875,346,$146.875,$146.875,$146.875
06/13/2023,$149.50,1077,$147.9499,$149.50,$147.9499
06/12/2023,$148.86,1331,$148.10,$148.86,$145.8026
06/09/2023,$149.30,7564,$149.85,$149.85,$149.30
06/08/2023,$144.50,9733,$147.00,$147.00,$144.50
06/07/2023,$146.90,1739,$147.20,$147.285,$146.90
06/06/2023,$145.45,1348,$146.90,$147.45,$145.45
06/05/2023,$145.1875,1034,$146.9499,$146.9499,$145.1875
06/02/2023,$147.12,1411,$146.60,$148.65,$146.60
06/01/2023,$147.70,1257,$145.38,$147.70,$144.68
05/31/2023,$146.08,681,$143.18,$146.08,$143.18
05/30/2023,$141.1399,834,$144.06,$144.36,$141.1399
05/26/2023,$144.55,649,$144.58,$144.58,$144.55
05/25/2023,$145.26,1265,$144.00,$145.26,$141.975
05/24/2023,$143.75,15787,$146.16,$146.16,$143.75
05/23/2023,$147.94,71186,$148.94,$150.76,$147.94
05/22/2023,$147.90,1069,$147.90,$147.90,$147.90
05/19/2023,$150.96,1195,$150.10,$150.96,$150.10
05/18/2023,$146.44,1248,$149.88,$149.88,$146.44
05/17/2023,$147.20,1079,$149.20,$150.57,$147.20
05/16/2023,$151.20,711,$151.20,$151.20,$151.20
05/15/2023,$149.4499,887,$150.34,$150.34,$149.4499
05/12/2023,$145.8001,1665,$150.70,$150.70,$145.8001
05/11/2023,$150.64,4432,$151.00,$151.00,$146.25
05/10/2023,$151.00,1257,$150.04,$151.00,$149.82
05/09/2023,$149.0999,1136,$146.50,$150.94,$146.50
05/08/2023,$147.0501,899,$149.62,$149.74,$147.0501
05/05/2023,$148.50,2830,$148.25,$152.06,$148.25
05/04/2023,$150.50,1805,$150.06,$150.50,$150.06
05/03/2023,$151.30,1216,$151.30,$151.30,$151.30
05/02/2023,$146.15,3137,$146.80,$146.80,$145.7899
05/01/2023,$146.31,2771,$144.255,$147.00,$144.255
04/28/2023,$146.55,1364,$145.40,$146.55,$145.40
04/27/2023,$146.00,2107,$146.00,$146.00,$146.00
04/26/2023,$147.15,1044,$148.20,$148.20,$147.15
04/25/2023,$151.00,2730,$150.00,$151.00,$150.00
04/24/2023,$153.10,1959,$152.24,$153.10,$152.24
04/21/2023,$151.74,752,$151.74,$151.74,$151.74
04/20/2023,$147.6099,1742,$148.40,$148.40,$146.75
04/19/2023,$147.78,4608,$147.70,$150.74,$145.40
04/18/2023,$148.88,6024,$150.20,$151.25,$148.88
04/17/2023,$146.78,85745,$146.77,$146.81,$144.7695
