0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,19972,202 (1.0%),,118 (58.4%),84 (41.6%),338,14,,12 (85.7%),4 (100%),0 (0%),0,8,2 (14.3%),0,2 (100%),0
,18450,219 (1.2%),,147 (67.1%),72 (32.9%),1985,51,,18 (35.3%),11 (100%),0 (0%),0,7,33 (64.7%),0,15 (100%),18
,20920,175 (0.8%),,102 (58.3%),73 (41.7%),1456,44,,25 (56.8%),17 (94.4%),1 (5.6%),0,7,19 (43.2%),0,15 (100%),4
,18235,171 (0.9%),,102 (59.6%),69 (40.4%),1782,28,,17 (60.7%),15 (100%),0 (0%),0,2,11 (39.3%),0 (0%),10 (100%),1
,22368,225 (1.0%),,142 (63.1%),83 (36.9%),1791,39,,29 (74.4%),24 (85.7%),4 (14.3%),0,1,10 (25.6%),0 (0%),4 (100%),6
,21594,214 (1.0%),,116 (54.2%),98 (45.8%),1261,28,,18 (64.3%),15 (93.7%),1 (6.3%),0,2,10 (35.7%),0 (0%),5 (100%),5
,25162,263 (1.0%),,147 (55.9%),116 (44.1%),1072,50,,32 (64.0%),16 (88.9%),2 (11.1%),0,14,18 (36.0%),0 (0%),15 (100%),3
,26217,214 (0.8%),,112 (52.3%),102 (47.7%),1533,34,,20 (58.8%),9 (81.8%),2 (18.2%),0,9,14 (41.2%),0 (0%),4 (100%),10
,29380,257 (0.9%),,153 (59.5%),104 (40.5%),1442,37,,28 (75.7%),11 (68.8%),5 (31.3%),0,12,9 (24.3%),0 (0%),4 (100%),5
,33251,266 (0.8%),,170 (63.9%),96 (36.1%),1479,40,,21 (52.5%),10 (83.3%),2 (16.7%),0,9,19 (47.5%),0 (0%),14 (100%),5
,30867,233 (0.8%),,155 (66.5%),78 (33.5%),1466,41,,35 (85.4%),20 (87.0%),3 (13.0%),0,12,6 (14.6%),0 (0%),4 (100%),2
,36600,253 (0.7%),,167 (66.0%),86 (34.0%),1981,42,,29 (69.0%),9 (100%),0 (0%),0,20,13 (31.0%),0 (0%),5 (100%),8
,39031,315 (0.8%),,211 (67.0%),104 (33.0%),2801,49,,36 (73.5%),20 (80.0%),5 (20.0%),0,11,13 (26.5%),0 (0%),10 (100%),3
,42904,399 (0.9%),,237 (59.4%),162 (40.6%),2717,72,,47 (65.3%),32 (94.1%),2 (5.9%),0,13,25 (34.7%),0 (0%),6 (100%),19
,46412,444 (1.0%),,284 (64.0%),160 (36.0%),2404,95,,80 (84.2%),59 (95.2%),3 (4.8%),0,18,15 (15.8%),0 (0%),13 (100%),2
