0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,3250101,"351,174 (10.8%)",,"345,008 (98.2%)","6,166 (1.8%)",238025,29012,,"28,416 (97.9%)","6,420 (26.9%)","17,463 (73.1%)",1 (<0.1%),4532,596 (2.1%),0,444 (100%),152
,3311991,"351,710 (10.6%)",,"345,229 (98.2%)","6,481 (1.8%)",241869,29109,,"28,464 (97.8%)","6,461 (27.0%)","17,469 (73.0%)",1 (<0.1%),4533,645 (2.2%),0,485 (100%),160
,3349588,"352,059 (10.5%)",,"345,358 (98.1%)","6,701 (1.9%)",245473,29246,,"28,528 (97.5%)","6,501 (27.1%)","17,497 (72.9%)",1 (<0.1%),4529,718 (2.5%),0,536 (100%),182
,3395600,"352,572 (10.4%)",,"345,544 (98.0%)","7,028 (2.0%)",248451,29364,,"28,582 (97.3%)","6,545 (27.2%)","17,500 (72.8%)",1 (<0.1%),4536,782 (2.7%),0,593 (100%),189
,3436045,"353,077 (10.3%)",,"345,732 (97.9%)","7,345 (2.1%)",251355,29497,,"28,631 (97.1%)","6,591 (27.4%)","17,501 (72.6%)",1 (<0.1%),4538,866 (2.9%),0,656 (100%),210
,3499800,"353,643 (10.1%)",,"346,014 (97.8%)","7,629 (2.2%)",254852,29612,,"28,697 (96.9%)","6,650 (27.5%)","17,510 (72.5%)",1 (<0.1%),4536,915 (3.1%),0,699 (100%),216
,3530424,"353,954 (10.0%)",,"346,167 (97.8%)","7,787 (2.2%)",257498,29736,,"28,759 (96.7%)","6,687 (27.6%)","17,529 (72.4%)",1 (<0.1%),4542,977 (3.3%),0,756 (100%),221
,3572169,"354,504 (9.9%)",,"346,438 (97.7%)","8,066 (2.3%)",259871,29889,,"28,856 (96.5%)","6,745 (27.8%)","17,540 (72.2%)",1 (<0.1%),4570,"1,033 (3.5%)",0,807 (100%),226
,3611129,"354,984 (9.8%)",,"346,644 (97.7%)","8,340 (2.3%)",260315,29939,,"28,888 (96.5%)","6,758 (27.8%)","17,552 (72.2%)",1 (<0.1%),4577,"1,051 (3.5%)",0,823 (100%),228
,3637359,"355,252 (9.8%)",,"346,824 (97.6%)","8,428 (2.4%)",264422,30138,,"28,993 (96.2%)","6,870 (28.1%)","17,563 (71.9%)",1 (<0.1%),4559,"1,145 (3.8%)",0,898 (100%),247
,3668038,"355,549 (9.7%)",,"347,002 (97.6%)","8,547 (2.4%)",266239,30295,,"29,110 (96.1%)","6,937 (28.3%)","17,612 (71.7%)",1 (<0.1%),4560,"1,185 (3.9%)",0,943 (100%),242
,3694104,"355,775 (9.6%)",,"347,143 (97.6%)","8,632 (2.4%)",268198,30193,,"28,971 (96.0%)","7,002 (28.4%)","17,610 (71.5%)",1 (<0.1%),4358,"1,222 (4.0%)",0,980 (100%),242
,3745235,"356,390 (9.5%)",,"347,535 (97.5%)","8,855 (2.5%)",270277,30311,,"29,058 (95.9%)","7,074 (28.6%)","17,644 (71.4%)",1 (<0.1%),4339,"1,253 (4.1%)",0,999 (100%),254
,3770329,"356,632 (9.5%)",,"347,674 (97.5%)","8,958 (2.5%)",271803,30392,,"29,120 (95.8%)","7,128 (28.8%)","17,648 (71.2%)",2 (<0.1%),4342,"1,272 (4.2%)",0,"1,021 (100%)",251
,3812287,"357,111 (9.4%)",,"347,976 (97.4%)","9,135 (2.6%)",273164,30503,,"29,195 (95.7%)","7,181 (28.9%)","17,655 (71.1%)",2 (<0.1%),4357,"1,308 (4.3%)",0,"1,058 (100%)",250
,3841281,"357,346 (9.3%)",,"348,091 (97.4%)","9,255 (2.6%)",274960,30582,,"29,257 (95.7%)","7,243 (29.1%)","17,658 (70.9%)",2 (<0.1%),4354,"1,325 (4.3%)",0,"1,067 (100%)",258
,3880893,"357,737 (9.2%)",,"348,355 (97.4%)","9,382 (2.6%)",277334,30706,,"29,346 (95.6%)","7,301 (29.2%)","17,668 (70.8%)",2 (<0.1%),4375,"1,360 (4.4%)",0,"1,099 (100%)",261
,3929713,"358,134 (9.1%)",,"348,600 (97.3%)","9,534 (2.7%)",279183,30787,,"29,395 (95.5%)","7,355 (29.4%)","17,672 (70.6%)",2 (<0.1%),4366,"1,392 (4.5%)",0,"1,126 (100%)",266
,3965616,"358,391 (9.0%)",,"348,771 (97.3%)","9,620 (2.7%)",281013,30893,,"29,484 (95.4%)","7,420 (29.6%)","17,683 (70.4%)",2 (<0.1%),4379,"1,409 (4.6%)",0,"1,147 (100%)",262
,4023390,"358,781 (8.9%)",,"349,050 (97.3%)","9,731 (2.7%)",283440,30993,,"29,552 (95.4%)","7,465 (29.7%)","17,695 (70.3%)",2 (<0.1%),4390,"1,441 (4.6%)",0,"1,168 (100%)",273
,4081761,"359,256 (8.8%)",,"349,371 (97.2%)","9,885 (2.8%)",286709,31107,,"29,641 (95.3%)","7,530 (29.8%)","17,704 (70.2%)",2 (<0.1%),4405,"1,466 (4.7%)",0 (0%),"1,186 (100%)",280
,4144631,"359,916 (8.7%)",,"349,813 (97.2%)","10,103 (2.8%)",289867,31218,,"29,718 (95.2%)","7,592 (30%)","17,709 (70%)",2 (<0.1%),4415,"1,500 (4.8%)",0 (0%),"1,202 (100%)",298
,4205970,"360,500 (8.6%)",,"350,169 (97.1%)","10,331 (2.9%)",292869,31398,,"29,876 (95.2%)","7,723 (30.3%)","17,722 (69.6%)",2 (<0.1%),4428,"1,522 (4.8%)",0 (0%),"1,246 (100%)",276
